Dates,DRREDDY.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-01,4552.0498046875,609.5999755859375,-2.2478026378900773,-461.8035011179864,5013.853305805486,-1.0,0.0405261313076465,1.0,8819.249633789062,88.19249633789062,42.671998291015626,45.520498046875,17.0,2.7094136246737994,238.949951171875,270.9413624673799,489.55029296875,-250.600341796875,4267.1998291015625,4552.0498046875,7.0,1.0
2023-06-02,4610.4501953125,614.1500244140625,-2.011109202608904,-414.46929689808167,5024.919492210582,,0.0320060738715728,2.0,12115.0498046875,121.150498046875,62.3439990234375,58.8064990234375,17.0,4.2925972352795,520.05029296875,429.25972352795,253.2001953125,266.85009765625,6234.39990234375,5880.64990234375,8.0,1.0
2023-06-05,4603.5498046875,618.0499877929688,-2.076848786211139,-429.428966878957,5032.978771566457,,0.028867057348529,3.0,12057.549926757812,120.57549926757812,59.016998291015625,61.5585009765625,28.0,6.136822015357278,739.9503784179688,613.6822015357278,687.4000854492188,52.55029296875,5901.6998291015625,6155.85009765625,7.0,1.0
2023-06-06,4636.64990234375,631.5,-2.1081986921938363,-437.29517272875,5073.9450750725,,0.026829517769088,4.0,12274.85009765625,122.7485009765625,62.64,60.1085009765625,35.0,-8.315783833440877,-1020.75,-831.5783833440877,-227.55029296875,-793.19970703125,6264.0,6010.85009765625,6.0,1.0
2023-06-07,4673.75,663.0499877929688,-2.4049885859919664,-500.4012607984832,5174.151260798483,,0.03897352863619,,,,,,,,,,,,,,,
2023-06-08,4649.39990234375,648.4000244140625,-2.226004505781096,-464.839421779795,5114.239324123545,,0.0325716417518013,,,,,,,,,,,,,,,
2023-06-09,4666.7998046875,636.0499877929688,-1.8995892201148188,-397.1874550253788,5063.987259712879,,0.0361138581680853,,,,,,,,,,,,,,,
2023-06-12,4675.64990234375,638.5499877929688,-1.8573987391584843,-388.6899055090107,5064.339807852761,,0.0352479461764894,,,,,,,,,,,,,,,
2023-06-13,4702.0,649.0,-1.85460486732622,-388.27013702003023,5090.27013702003,,0.0359525456039092,,,,,,,,,,,,,,,
2023-06-14,4699.0,637.4500122070312,-1.6546033072008484,-347.1730609890501,5046.17306098905,,0.0286763072250731,Individual Breakup,,Lot DRREDDY.NS Y,Lot  GLENMARK.NS X,Total Profit,Total Trade,,,,,,,,,
2023-06-15,4803.4501953125,642.4500122070312,-1.2076679550791587,-253.3983799756461,5056.848575288146,,0.0211802714334087,Margin of GLENMARK.NS X,Margin of DRREDDY.NS Y,1,1,478.20062255859375,4,,,,,,,,,
2023-06-16,4915.0498046875,642.4500122070312,-0.6562474117831654,-137.5899217069018,5052.639726394402,,0.0146174720671726,1,1,,,,,,,,,,,,,
2023-06-19,4879.0,640.4000244140625,-0.7747833518407523,-162.30061993551772,5041.300619935518,,0.0163024748407345,,,,,,,,,,,,,,,
2023-06-20,4901.2001953125,643.8499755859375,-0.6994680133863332,-146.33480806176613,5047.535003374266,,0.0135534941572969,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,643.0499877929688,-0.622975294481974,-130.16983042418815,5040.569732767938,,0.0103593882251092,,,,,,,,,,,,,,,
2023-06-22,4899.4501953125,627.7000122070312,-0.4282798597520592,-89.43773399999918,4988.887929312499,,0.0095204176976042,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,633.0,-0.0372538121454492,-7.761799444607277,5001.661701788357,,0.004334072542029,,,,,,,,,,,,,,,
2023-06-26,5041.60009765625,645.4000244140625,0.0293953183537382,6.101372656311469,5035.4987249999385,0.0,0.0027060001642802,,,,,,,,,,,,,,,
2023-06-27,5025.60009765625,655.7000122070312,-0.1754329150242129,-36.277664331510096,5061.87776198776,,0.0019674118987475,,,,,,,,,,,,,,,
2023-06-28,5107.85009765625,675.5999755859375,-0.0357013620240131,-7.32883779121039,5115.17893544746,,0.0020395897790405,,,,,,,,,,,,,,,
2023-06-30,5159.60009765625,676.0,0.24412672185679,49.8153096076021,5109.784788048648,,0.0024953662671966,,,,,,,,,,,,,,,
2023-07-03,5098.2998046875,659.4500122070312,0.2153110022534097,43.7466682905042,5054.553136396996,,0.003076284455327,,,,,,,,,,,,,,,
